,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,SalePrice,BsmtFinSF,BsmtQualNum,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,Neighborhood_6,Neighborhood_7,Neighborhood_8,Neighborhood_9,Neighborhood_10,Neighborhood_11,Neighborhood_12,Neighborhood_13,Neighborhood_14,Neighborhood_15,Neighborhood_16,Neighborhood_17,Neighborhood_18,Neighborhood_19,Neighborhood_20,Neighborhood_21,Neighborhood_22,Neighborhood_23,Neighborhood_24
1,0.03879501741101685,0.5555555555555556,0.875,0.7536231884057969,0.43333333333333,0.12157534246575341,0.3936369307548347,0.2662076878944349,0.0,0.2662076878944349,0.5,0.0,0.375,0.33333333333333337,0.25,0.4,0.30913978494623656,0.2092696629213483,0.0,0.0,0.2755765577554144,0.3973994311255587,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04650727990838767,0.6666666666666665,0.5,0.9347826086956523,0.8666666666666671,0.1857876712328767,0.28696194635059263,0.168100975329891,0.46509129967776586,0.4165232358003442,0.5,0.5,0.375,0.33333333333333337,0.25,0.4,0.40860215053763443,0.0,0.05660377358490566,0.0,0.34418035611905046,0.197480698902885,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0385613124868541,0.6666666666666665,0.5,0.3115942028985508,0.3333333333333357,0.23116438356164382,0.23580786026200873,0.17986230636833045,0.40601503759398494,0.3967297762478485,0.25,0.0,0.375,0.41666666666666663,0.25,0.6000000000000001,0.43145161290322587,0.0,0.04716981132075472,0.26877470355731226,0.2077894712770597,0.08776919951239333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06057631634298535,0.7777777777777777,0.5,0.9275362318840585,0.8333333333333357,0.20976027397260272,0.35714285714285715,0.23264486517498562,0.5655209452201934,0.5347102696500287,0.5,0.5,0.5,0.5833333333333334,0.25,0.6000000000000001,0.5618279569892474,0.1348314606741573,0.11320754716981132,0.0,0.38746608603896365,0.26615197074360014,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05989857206291336,0.4444444444444445,0.5,0.8768115942028984,0.75,0.0273972602739726,0.24828446662507797,0.1325301204819277,0.3039742212674543,0.29489386115892136,0.25,0.5,0.125,0.24999999999999997,0.0,0.4,0.32258064516129037,0.028089887640449437,0.04043126684636119,0.0,0.212689742588748,0.2974400650142219,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.04105728107691229,0.7777777777777777,0.5,0.9565217391304355,0.9166666666666643,0.13570205479452055,0.5258889582033687,0.3901319563970166,0.0,0.3901319563970166,0.5,0.0,0.375,0.41666666666666663,0.25,0.4,0.4274193548387097,0.17907303370786518,0.07681940700808626,0.0,0.48057124096104115,0.5562779357984559,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.04245016242492229,0.6666666666666665,0.625,0.7318840579710155,0.38333333333333286,0.09246575342465753,0.34529008109794135,0.22174411933448074,0.5279269602577873,0.5037292025243832,0.5,0.5,0.375,0.41666666666666663,0.5,0.4,0.3252688172043011,0.16502808988764045,0.2749326145552561,0.225296442687747,0.3057948975108255,0.3620479479886225,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.022529154689289302,0.6666666666666665,0.5,0.42753623188405854,0.0,0.40753424657534243,0.29694323144104806,0.19736087205966724,0.4038668098818475,0.4130808950086058,0.5,0.0,0.25,0.5,0.5,0.4,0.31451612903225806,0.06320224719101124,0.0,0.2025691699604743,0.1912918911943758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.028605482717520857,0.4444444444444445,0.625,0.4855072463768124,0.0,0.059931506849315065,0.30910792264504056,0.2131382673551348,0.0,0.2131382673551348,0.25,0.0,0.25,0.24999999999999997,0.5,0.2,0.1377688172043011,0.0,0.005390835579514825,0.0,0.1718541483246789,0.34579439252336447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.046273574984224915,0.4444444444444445,0.5,0.6739130434782616,0.25,0.05736301369863013,0.32439176543980036,0.2025243832472748,0.0,0.2025243832472748,0.25,0.0,0.375,0.24999999999999997,0.0,0.2,0.25806451612903225,0.0,0.0,0.0,0.1906385216861507,0.3681430312880943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
